,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
116,郑政东出〔2019〕7号（网）,东站北街南、心怡路东,37800.89,地下空间土地用途为商服（零售商业、批发市场、餐饮、旅馆）用地、交通服务场站用地,10500,地下空间主要使用功能为商业设施、停车设施、人防设施及其附属设施，建设深度＜20米，按照开发三层计算，地下建筑面积控制在55000平方米以内，单层可开发最大面积为34854.16平方米；其中配套商业设施分布在地下一层，地下一层建筑面积控制在31000平方米以内，地下二层面积控制在20000平方米以内，地下三层面积控制在4000平方米以内。,商服40年、交通服务场站50年
117,郑上出〔2019〕8号（网）,新安路北侧,3190.25,商业服务业设施用地,＜24,＜0.8,1436
118,郑政高出〔2019〕17号,雪梅街北、花柏路东,20000.18,工业用地(地下交通服务场站用地）,＜100,＞1.0,50（地下空间50）
119,郑政高出〔2019〕18号,红杉路东、雪梅街南,65687.91,工业用地(地下交通服务场站用地）,＜80,＞1.0,50（地下空间50）
120,牟政出〔2018〕232号（网）,白沙园区白沙路南、同德路东、润丰路北、雁鸣路西,69994.39,地上：城镇住宅用地地下：交通服务场站用地,＜100,＞1.0，＜2.6,55000
121,郑政高出〔2019〕16号（网）,翠竹街南、垂柳路东,81632.31,城镇住宅兼容零售商业、批发市场、餐饮、旅馆用地（地下交通服务场站用地）,＜100,"＞1.1,＜4.5",110908
122,郑政出〔2019〕51号（网）,鸿宝南路北、鸿中路东,12431.35,商务金融兼容零售商业、餐饮、旅馆用地（地下交通服务场站用地）,不得超过53－59,＜3.8,14178
123,郑政出〔2019〕52号（网）,学院路东、安宁路南,45572.23,城镇住宅,＜80,"＞1.0,＜3.0",44840
124,郑政出〔2019〕53号（网）,童心路南、文德路西,43551.49,城镇住宅兼容零售商业、餐饮、旅馆、（地下交通服务场站用地）,＜100,"＞1.0,＜3.5",49915
125,郑政出〔2019〕54号（网）,皓月路南、站前大道西,46010.16,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.8",52133
126,郑政出〔2019〕55号（网）,富国路西、豫五路北,49032.75,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.5",54043
127,郑政出〔2019〕56号（网）,天福路南、建文路西,31074.48,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",33641
128,郑政出〔2019〕57号（网）,天福路南、建武路西,29504.95,城镇住宅（地下交通服务场站用地）,＜100,"＞1.1,＜3.0",31891
129,郑政出〔2019〕49号（网）,农业路北、东明路东,32982.25,商务金融兼容城镇住宅（地下为交通服务场站）,＜100,"＞1.0,＜5.8",74812
130,郑政出〔2019〕50号（网）,农业路北、姚砦路西,23288.8,零售商业、餐饮、旅馆用地兼容商务金融（地下为交通服务场站）,＜200,＜7.9,58959
131,郑政出〔2019〕48号（网）,泉州路西、文博大道北,55786.23,城镇住宅（地下为交通服务场站）,＜100,"＞1.0,＜3.5",63661
132,郑政高出〔2019〕11号（网）,枫香街南、金柏路东,10933.13,城镇住宅,＜100,"＞1.0,＜3.5",10910
133,郑政高出〔2019〕12号（网）,枫香街南、红杉路西,39024.39,城镇住宅,＜100,"＞1.0,＜3.5",38993
134,郑政高出〔2019〕13号（网）,杜兰街南、红杉路西,45915.05,城镇住宅,＜100,"＞1.0,＜3.5",45857
