Column1,地块编号,宗地位置,地块面积（平方米）,用途,成交价格（万元）,受让单位
42,郑政高出〔2019〕 25号（网）,宏达街南、西三环北延东,85335.80,城镇住宅用地兼容零售商业、批发市场、餐饮、旅馆、商务金融用地（地下交通服务场站用地）,105741.0,河南荣田房地产开发有限公司
254,郑政出〔2018〕87号,西三环北延东、宏达街北,67773.29,城镇住宅,57133.0,河南荣田房地产开发有限公司
255,郑政出〔2018〕88号,凤梨路西、宏达街北,56690.87,城镇住宅,47774.0,河南荣田房地产开发有限公司
78,郑政出[2019]48号（网）,泉州路西、文博大道北,55786.23,城镇住宅（地下为交通服务场站）,63661.0,河南荣威置业有限公司
115,郑政出[2019]33号（网）,玉瑞路东、金龙路北,16431.36,城镇住宅（地下交通服务场站）,17865.0,河南荣威置业有限公司
158,郑政出[2018]181号（网）,桐柏路西、黄水街南,69551.39,城镇住宅兼容零售商业、餐饮、旅馆,78549.0,河南融创晟元置业有限公司
238,郑政出〔2018〕96号（网）,桐柏路西、医院南路北,30641.09,城镇住宅、零售商业、餐饮、旅馆,32295.0,河南融创晟元置业有限公司
153,郑政出〔2018〕184号（网）,天泰路东、鼎盛大道北,15014.08,零售商业、餐饮、旅馆用地,17061.0,河南睿森置业有限公司
86,郑政出[2019]49号（网）,农业路北、东明路东,32982.25,商务金融兼容城镇住宅（地下为交通服务场站）,74812.0,河南省尚建置业有限公司
87,郑政出[2019]50号（网）,农业路北、姚砦路西,23288.8,零售商业、旅馆兼容商务金融（地下为交通服务场站）,58959.0,河南省尚建置业有限公司
113,郑政出[2019]31号（网）,鸿业路北、任庄路东,29968.44,城镇住宅（地下交通服务场站）,24504.0,河南省天伦乐居置业有限公司
270,郑政出[2018]66号（网）,鸿业路北、任庄路西,52314.14,城镇住宅,38237.0,河南省天伦乐居置业有限公司
271,郑政出[2018]67号（网）,鸿业路北、任庄路东,53127.33,城镇住宅,39251.0,河南省天伦乐居置业有限公司
159,郑政出[2018]182号（网）,创文路东、星海路南,27431.93,城镇住宅（地下交通服务场站）,24455.0,河南世茂海润置业有限公司
200,郑政出〔2018〕128号（网）,皓月路南、雪松路西,33764.82,城镇住宅,25241.0,河南世茂海润置业有限公司
146,郑政出〔2019〕3号（网）,景怡路北、贺庄新街东,65510.54,城镇住宅（地下为交通服务场站）,64871.0,河南水投土地开发有限公司
230,郑政出〔2018〕102号（网）,景怡路北、经三街西,21240.28,商务金融,16258.0,河南太极汇生科技产业园发展有限公司
72,郑政出〔2019〕47号（网）,永兴路南、慧科环路西,80207.74,城镇住宅（地下交通服务场站用地）,81749.0,河南万林置业有限公司
170,郑政出[2018]156号（网）,阳春路南、渠南路西,89470.06,城镇住宅（地下交通服务场站用地）,93180.0,河南熹林置业有限公司
117,郑政出〔2019〕29号（网）,鸿发路北、博学路东,88590.39,城镇住宅（地下交通服务场站用地）,83716.0,河南协广置业有限公司
118,郑政出〔2019〕30号（网）,鸿业路南、农场路西,75196.93,商务金融（地下交通服务场站用地）,68775.0,河南协广置业有限公司
175,郑政东出〔2018〕16号（网）,商鼎路南、圃田西路东,73927.17,地上：商服用地（商务金融、零售商业、批发市场、餐饮、旅馆）地下：商服用地（商务金融、零售商业、批发市场、餐饮、旅馆）、交通服务场站用地,98900.0,河南新发展楷林实业有限公司
237,郑政东出[2018]17号（网）,莲湖路北、博学路西,60393.26,商服用地,83000.0,河南新发展楷林实业有限公司
138,郑政东出[2019]1号（网）,康宁街（原康宁路）南、心怡路东,16955.08,地上：商服用地地下：商服用地、交通服务场站用地,29700.0,河南新发展亚新实业有限公司
108,郑政经开出[2019]003号（网）,泰达路（规划路名寿达路）以南、远通街（规划路名信通一街）以东、信通北街（规划路名信通街）以西,26681.05,仓储用地,3720.0,河南新合实业有限公司
64,郑政经开出〔2019〕018号（网）,朗星路以南、龙美街以东、美辰路以北、前程大道以西,33356.58,城镇住宅（地下交通服务场站用地）,49907.0,河南新图腾置业有限公司
160,郑政出〔2018〕175号（网）,红梅街南、川杨路西,51395.4,城镇住宅（地下交通服务场站用地）,67260.0,河南新筑置业有限公司
228,郑政出〔2018〕105号（网）,冉屯北路东、农业路北,4290.6,零售商业、餐饮、旅馆、商务金融、其他商服兼容娱乐用地,5901.0,河南鑫利置业有限公司
249,郑政出〔2018〕82号,冉屯北路东、农业路北,12478.77,城镇住宅、零售商业、餐饮、旅馆商务金融、其他商服,16904.0,河南鑫利置业有限公司
301,郑政出[2018]59号（网）,春晓路东、赣江路南,45534.82,城镇住宅,48195.0,河南鑫苑广晟置业有限公司
302,郑政出[2018]60号（网）,连云路西、赣江路北,8839.14,商服,6046.0,河南鑫苑广晟置业有限公司
305,郑政出[2018]54号（网）,长江路南、丘寨路东,19199.97,商服、城镇住宅,22653.0,河南鑫苑广晟置业有限公司
306,郑政出[2018]55号（网）,丘寨路西、赣江路北,50965.70,城镇住宅,49876.0,河南鑫苑广晟置业有限公司
235,郑政出〔2018〕98号（网）,金樽路东、绿达路北,44426.12,城镇住宅,24164.0,河南兴汉正商置业有限公司
174,郑政出[2018]160号（网）,景怡路北、新庄东路东,20106.92,城镇住宅（地下交通服务场站）,18321.0,河南兴伟置业有限公司
214,郑上出[2018]09号（网）,金华路东侧、规划丹江路南侧,60081.36,城镇住宅、商服,28840.0,河南亚星创意置业有限公司
65,郑政经开出〔2019〕019号（网）,朗星路以南、龙美街以西、美辰路以北、龙善街以东,43595.11,城镇住宅（地下交通服务场站用地）,70302.0,河南英地置业有限公司
49,郑政出〔2019〕70号（网）,站马屯路南、郑新大道西,28379.63,城镇住宅,32223.0,河南永威置业有限公司
169,郑政出〔2018〕155号（网）,郑新大道东、站马屯路南,81799.51,城镇住宅,72614.0,河南永威置业有限公司
199,郑政出〔2018〕127号（网）,马林西路西、杨金路北,45734.92,城镇住宅,39740.0,河南远威置业有限公司
32,郑政高出〔2019〕32号,化工路南、碧桃路西、站北路北,10005.09,工业用地（地下交通服务场站用地）,928.0,河南跃利电器有限公司
121,郑政东出[2019]2号（网）,薛夏南街北、薛岗街东,53189.50,商务金融（地下交通服务场站）,51700.0,河南云湖实业有限公司
116,牟政出〔2018〕231号（网）,白沙园区宇正路北、忠贤西路南、锦绣路西、大有路东,49602.95,地上：仓储地下：交通服务场站,5000.0,河南云政数据管理有限公司
0,郑政高出〔2019〕35号,红梅街南、花柏路东,55037.94,工业用地（地下交通服务场站用地）,3759.0,河南长城计算机系统有限公司
50,郑政高出〔2019〕 19号（网）,科学大道北、瑞达路西,60870.03,零售商业、批发市场、餐饮、旅馆兼容城镇住宅用地（地下零售商业、批发市场、餐饮、旅馆用地和交通服务场站用地）,82357.0,河南正弘高新实业有限公司
51,郑政高出〔2019〕 20号（网）,科学大道北、瑞达路西,23979.41,交通服务场站用地（地下空间）,1342.0,河南正弘高新实业有限公司
53,郑政高出〔2019〕 19号（网）,科学大道北、瑞达路西,60870.03,零售商业、批发市场、餐饮、旅馆兼容城镇住宅用地（地下零售商业、批发市场、餐饮、旅馆用地和交通服务场站用地）,82357.0,河南正弘高新实业有限公司
54,郑政高出〔2019〕 20号（网）,科学大道北、瑞达路西,23979.41,交通服务场站用地（地下空间）,1342.0,河南正弘高新实业有限公司
144,郑政出[2019]6号（网）,三官中路西、芦庄路北,44948.81,城镇住宅,49876.0,河南正华竹桂园置业有限公司
206,郑政出〔2018〕121号（网）,幸运路南、丰硕南街东,14646.68,零售商业、餐饮、旅馆,11432.0,河南正商华府置业有限公司
222,郑政出〔2018〕119号（网）,幸运路南、天山路西,40941.43,城镇住宅,32648.0,河南正商华府置业有限公司
236,郑政出〔2018〕99号（网）,南北大街东、新城路南,31005.38,零售商业、批发市场、餐饮、旅馆、商务金融,27096.0,河南正商华府置业有限公司
154,郑上出[2018]17号（网）,通航五路东侧、安阳路北侧,93643.23,商业兼容商务,21670.0,河南正商金铭置业有限公司
183,郑上出[2018]12号（网）,登封路西侧、白云路南侧,47846.72,城镇住宅兼容商服,13221.0,河南正商金铭置业有限公司
184,郑政出[2018]13号（网）,汝南路东侧、白云路南侧,50148.08,城镇住宅兼容商服,13856.0,河南正商金铭置业有限公司
101,郑政出〔2019〕38号（网）,明珠路东、豫五路南,28608.73,城镇住宅（地下交通服务场站用地）,28819.0,河南正商珑水置业有限公司
102,郑政出〔2019〕39号（网）,荆庄路东、豫五路南,45604.51,城镇住宅（地下交通服务场站用地）,45908.0,河南正商珑水置业有限公司
257,郑政出〔2018〕90号,豫六路北、魏河东路东,64045.44,城镇住宅,53059.0,河南正商商都置业有限公司
227,郑政东出[2018]23号（网）,龙湖内环东路南、春蕾街东,45504.68,城镇住宅,174000.0,河南正商郑东置业有限公司
205,郑政出〔2018〕120号（网）,豫一路南、合展路东,97225.98,城镇住宅,92122.0,河南郑地新城土地开发有限公司
73,郑政东出〔2019〕3号（网）,龙湖中环南路南、龙腾二街东,55185.94,地上：零售商业、批发市场、餐饮、旅馆用地地下：交通服务场站用地,68000.0,河南郑欧丝路建设发展有限公司
286,郑政东出〔2018〕6号（网）,龙湖中环南路北、如意西路西,地上：24171.45地下：24796.63,商服用地,30700.0,河南郑欧丝路建设发展有限公司
287,郑政东出〔2018〕7号（网）,如意西路东、如意河西八街南,11775.14,商务金融用地,15800.0,河南郑欧丝路建设发展有限公司
106,郑上出[2019]5号（网）,金华路东侧、许昌路南侧,36019.87,城镇住宅,15659.0,河南志强置业有限公司
177,郑政东出〔2018〕28号（网）,中道东路东、时埂街北,5843.61,商务金融用地,7100.0,河南智慧岛投资有限公司
