httptype,ip,port
HTTP,120.76.40.254,80
HTTP,111.177.186.120,9999
HTTP,116.209.54.72,9999
HTTP,180.118.128.217,9000
HTTP,122.234.206.52,9000
HTTP,117.90.137.206,9000
HTTP,115.239.25.108,9999
HTTP,180.118.247.158,9000
HTTP,220.176.93.24,9000
HTTP,125.125.215.32,9999
HTTP,116.209.59.156,9999
HTTP,115.223.224.134,9000
HTTP,219.159.38.199,56210
HTTP,47.96.135.84,80
httptype,ip,port
HTTP,111.75.193.21,48449
HTTP,116.209.52.13,9999
HTTP,121.225.25.83,3128
HTTP,111.181.34.110,9999
HTTP,116.209.54.69,9999
HTTP,36.110.234.244,80
HTTP,125.122.151.9,9000
HTTP,171.80.152.59,9999
HTTP,116.210.36.238,9999
HTTP,61.164.39.68,53281
HTTP,116.209.53.42,9999
HTTP,124.93.201.59,42672
HTTP,183.129.244.16,11723
HTTP,125.123.142.120,9999
ip,httptype
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
HTTP://httpbin.org/ip,HTTP
