,地块编号,宗地位置_x,地块面积（平方米）_x,用途_x,容积率,限高,出让年限,起始价格（万元）,宗地位置_y,地块面积（平方米）_y,用途_y,成交价格（万元）,受让单位
0,登政出〔2020〕2号（网）,登封市洧河路与菜园路交叉口西北,37589.26（56.38亩）,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,＞1.0，＜2.7,＜36,70、40,16237.44,,,,,
1,登政出〔2019〕23号（网）,登封市少林大道与卢鸿路交叉口东北角,41543.06（62.31亩）,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,＞1.0，＜1.9,＜36,70、40,15265.95,41543.06（62.31亩）,登封市少林大道与卢鸿路交叉口东北角,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,/,/
2,登政出〔2019〕23号（网）,登封市少林大道与卢鸿路交叉口东北角,41543.06（62.31亩）,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,＞1.0，＜1.9,＜36,70、40,15265.95,41543.06（62.31亩）,登封市少林大道与卢鸿路交叉口东北角,城镇住宅兼容商服（零售商业、批发市场、餐饮、旅馆）,/,/
3,登政出〔2019〕24号（网）,登封市玉带路与太和路交叉口西南角,22191.49（33.29亩）,城镇住宅,＞1.0，＜1.8,＜36,70,7989.6,22191.49（33.29亩）,登封市玉带路与太和路交叉口西南角,城镇住宅,/,/
4,登政出〔2019〕24号（网）,登封市玉带路与太和路交叉口西南角,22191.49（33.29亩）,城镇住宅,＞1.0，＜1.8,＜36,70,7989.6,22191.49（33.29亩）,登封市玉带路与太和路交叉口西南角,城镇住宅,/,/
5,登政出〔2019〕40号（网）,登封市告成镇五渡村,21463.80（32.20亩）,工业,＞0.7,＜24,50,1075.38,21463.80（32.20亩）,登封市告成镇五渡村,工业,1075.38,河南豫科光学科技股份有限公司
6,登政出〔2019〕40号（网）,登封市告成镇五渡村,21463.80（32.20亩）,工业,＞0.7,＜24,50,1075.38,21463.80（32.20亩）,登封市告成镇五渡村,工业,/,/
7,登政出〔2019〕31号（网）,登封市东华镇颍河路与滨河南路东南侧,77561.14（116.34亩）,工业,＞1.0,＜24,50,2446.37,77561.14（116.34亩）,登封市东华镇颍河路与滨河南路东南侧,工业,2446.37,郑州登电科诚新材料有限公司
8,登政出〔2019〕32号（网）,登封市石道乡隐士沟水库西,11581.23（17.37亩）,工业,≥0.7,≤24,50,364.77,11581.23（17.37亩）,登封市石道乡隐士沟水库西,工业,364.77,登封市君鑫煤业有限责任公司
9,登政出〔2019〕33号（网）,登封市石道乡隐士沟水库北,3188.13（4.78亩）,工业,≥0.7,≤24,50,100.38,3188.13（4.78亩）,登封市石道乡隐士沟水库北,工业,100.38,登封市君鑫煤业有限责任公司
10,登政出〔2019〕34号（网）,登封市告成镇王家门村S237东侧,14878.91（22.32亩）,工业,≥0.7,20,50,446.4,14878.91（22.32亩）,登封市告成镇王家门村S237东侧,工业,446.4,登电集团新玉煤矿有限公司
11,登政出〔2019〕28号（网）,登封市大冶镇东刘碑村,27384 （41.08亩）,工业用地,＞1.0,＜24,50,862.68,27384（41.08亩）,登封市大冶镇东刘碑村,工业,862.68,河南诚源住宅工业有限公司
12,登政出〔2019〕29号（网）,登封市大冶镇东刘碑村,20237 （30.36亩）,工业用地,＞1.0,＜24,50,637.56,20237（30.36亩）,登封市大冶镇东刘碑村,工业,637.56,河南诚源住宅工业有限公司
13,登政出〔2019〕15号（网）,登封市产业集聚区横一路与纵三路交叉口西南角,33317.19（49.98亩）,工业,＞1.0,≤40,50,1323.144,33317.19（49.98亩）,登封市产业集聚区横一路与纵三路交叉口西南角,工业,1323.144,河南白云牧港生物科技有限公司
14,登政出〔2019〕16号（网）,登封市产业集聚区少林大道与纵三路交叉口西南角,21393.68（32.09亩）,物流仓储,≥0.8,≤40,50,883.2124,21393.68（32.09亩）,登封市产业集聚区少林大道与纵三路交叉口西南角,物流仓储,883.2124,河南思源医疗器械有限公司
15,登政出〔2018〕27号（网）,大金店镇北部环山旅游路以北、石崖河以西,12779.29（19.17亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,1226.88,12779.29（19.17亩）,9817.43,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,1226.88
16,登政出〔2018〕27号（网）,大金店镇北部环山旅游路以北、石崖河以西,12779.29（19.17亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,1265.22,12779.29（19.17亩）,9817.43,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,1226.88
17,登政出〔2018〕28号（网）,大金店镇北部环山旅游路以北、石崖河以西,8485.10（12.73亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,687.42,8485.10（12.73亩）,/,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,687.42
18,登政出〔2018〕28号（网）,大金店镇北部环山旅游路以北、石崖河以西,8485.10（12.73亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,661.96,8485.10（12.73亩）,/,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,687.42
19,登政出〔2018〕29号（网）,大金店镇北部环山旅游路以北、石崖河以西,32742.04（49.11亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,3143.04,32742.04（49.11亩）,29157.39,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,3143.04
20,登政出〔2018〕29号（网）,大金店镇北部环山旅游路以北、石崖河以西,32742.04（49.11亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,3143.04,32742.04（49.11亩）,29157.39,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,3143.04
21,登政出〔2018〕30号（网）,大金店镇北部环山旅游路以北、石崖河以西,21917.12（32.88亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,2104.32,21917.12（32.88亩）,17727.93,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,2104.32
22,登政出〔2018〕30号（网）,大金店镇北部环山旅游路以北、石崖河以西,21917.12（32.88亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,2071.44,21917.12（32.88亩）,17727.93,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,2104.32
23,登政出〔2018〕31号（网）,大金店镇北部环山旅游路以北、石崖河以西,46464.11（69.70亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,4460.8,46464.11（69.70亩）,40817.58,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,4460.80
24,登政出〔2018〕31号（网）,大金店镇北部环山旅游路以北、石崖河以西,46464.11（69.70亩）,商服（零售商业、批发市场、餐饮、旅馆）,＜1.0,＜12,40,4460.8,46464.11（69.70亩）,40817.58,大金店镇北部环山旅游路以北、石崖河以西,商服（零售商业、批发市场、餐饮、旅馆）,4460.80
